City,Super Category (P0),Category (P1),Sub Category (P2),SKU ID,Image,Brand,SKU Name,SKU Size,MRP,SP,Link,Active?,Out of Stock?
Bangalore,Fruits & Vegetables,fruits-vegetables,Exotic Fruits,10000013,https://www.bigbasket.com/media/uploads/p/s/10000013_24-fresho-avocado.jpg,Fresho,Avocado (Loose),500 g,207.89,0.32,https://www.bigbasket.com/pd/10000013/fresho-avocado-500-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Apples & Pomegranate,40048445,https://www.bigbasket.com/media/uploads/p/s/40048445_2-fresho-pear-green-imported.jpg,Fresho,"Pear - Green, Imported",4 pcs,142.11,27.00,https://www.bigbasket.com/pd/40048445/fresho-pear-green-imported-4-pcs/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Exotic Fruits,40008982,https://www.bigbasket.com/media/uploads/p/s/40008982_15-fresho-dragon-fruit.jpg,Fresho,Dragon Fruit (Loose),1 pc,125.00,95.00,https://www.bigbasket.com/pd/40008982/fresho-dragon-fruit-1-pc/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Exotic Fruits,30002322,https://www.bigbasket.com/media/uploads/p/s/30002322_11-fresho-guava-thai.jpg,Fresho,Guava Premium (Thai),1 pc,59.21,45.00,https://www.bigbasket.com/pd/30002322/fresho-guava-thai-1-pc/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Exotic Vegetables,10000133,https://www.bigbasket.com/media/uploads/p/s/10000133_14-fresho-lettuce-iceberg.jpg,Fresho,Lettuce - Iceberg,1 pc,57.89,44.00,https://www.bigbasket.com/pd/10000133/fresho-lettuce-iceberg-1-pc/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Roses,40054183,https://www.bigbasket.com/media/uploads/p/s/40054183_2-fresho-cut-roses-flower.jpg,Fresho,Cut Roses Flower,100 g,17.11,0.13,https://www.bigbasket.com/pd/40054183/fresho-cut-roses-flower-100-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Marigold,20001037,https://www.bigbasket.com/media/uploads/p/s/20001037_11-fresho-chrysanthemumshevanti-flower.jpg,Fresho,Chrysanthemum/Shevanti Flower,250 g,82.24,0.25,https://www.bigbasket.com/pd/20001037/fresho-chrysanthemumshevanti-flower-250-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Roses,30007036,https://www.bigbasket.com/media/uploads/p/s/30007036_2-fresho-rose-red.jpg,Fresho,Rose - Red,100 g,17.11,0.13,https://www.bigbasket.com/pd/30007036/fresho-rose-red-100-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Marigold,20001033,https://www.bigbasket.com/media/uploads/p/s/20001033_9-fresho-marigold-flower-yellow.jpg,Fresho,Marigold Flower - Yellow,250 g,29.61,0.09,https://www.bigbasket.com/pd/20001033/fresho-marigold-flower-yellow-250-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Leafy Vegetables,20001347,https://www.bigbasket.com/media/uploads/p/s/20001347_9-fresho-betel-leaf.jpg,Fresho,Betel Leaf,5 pcs,11.84,1.80,https://www.bigbasket.com/pd/20001347/fresho-betel-leaf-5-pcs/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Marigold,20001035,https://www.bigbasket.com/media/uploads/p/s/20001035_11-fresho-marigold-flower-orange.jpg,Fresho,Marigold Flower - Orange,250 g,23.03,0.07,https://www.bigbasket.com/pd/20001035/fresho-marigold-flower-orange-250-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Other Flowers,20003403,https://www.bigbasket.com/media/uploads/p/s/20003403_3-fresho-banana-leaf.jpg,Fresho,Banana Leaf,5 pcs,34.21,5.20,https://www.bigbasket.com/pd/20003403/fresho-banana-leaf-5-pcs/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Other Flowers,40196765,https://www.bigbasket.com/media/uploads/p/s/40196765_1-hoovu-fresh-assorted-puja-flowers.jpg,Hoovu Fresh,Assorted Puja Flowers,100 g,50.00,0.50,https://www.bigbasket.com/pd/40196765/hoovu-fresh-assorted-puja-flowers-100-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Other Flowers,40196773,https://www.bigbasket.com/media/uploads/p/s/40196773_1-hoovu-fresh-assorted-puja-flowers-greens-mix.jpg,Hoovu Fresh,Assorted Puja Flowers + Greens Mix,100 g,60.00,0.60,https://www.bigbasket.com/pd/40196773/hoovu-fresh-assorted-puja-flowers-greens-mix-100-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Other Flowers,40196772,https://www.bigbasket.com/media/uploads/p/s/40196772_1-hoovu-fresh-lotus.jpg,Hoovu Fresh,Lotus,2 pcs,60.00,30.00,https://www.bigbasket.com/pd/40196772/hoovu-fresh-lotus-2-stems/,-,-
Bangalore,"Foodgrains, Oil & Masala",foodgrains-oil-masala,Atta Whole Wheat,126906,https://www.bigbasket.com/media/uploads/p/s/126906_8-aashirvaad-atta-whole-wheat.jpg,Aashirvaad,Atta/Godihittu - Whole Wheat,10 kg,576.00,48.00,https://www.bigbasket.com/pd/126906/aashirvaad-atta-whole-wheat-10-kg-pouch/,-,-
Bangalore,"Foodgrains, Oil & Masala",foodgrains-oil-masala,"Sooji, Maida & Besan",10000423,https://www.bigbasket.com/media/uploads/p/s/10000423_12-bb-royal-sooji-ordinarybombay-rava.jpg,BB Royal,Sooji/Bombay Rava,1 kg,65.00,47.00,https://www.bigbasket.com/pd/10000423/bb-royal-sooji-ordinarybombay-rava-1-kg-pouch/,-,-
Bangalore,"Foodgrains, Oil & Masala",foodgrains-oil-masala,Atta Whole Wheat,1220743,https://www.bigbasket.com/media/uploads/p/s/1220743_1-aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg.jpg,Aashirvaad,Atta - Whole Wheat 5 kg + Iodised Salt 1 kg,Combo,346.00,-,https://www.bigbasket.com/pd/1220743/aashirvaad-atta-whole-wheat-5-kg-iodised-salt-1-kg-combo-pouch/,-,-
Bangalore,"Foodgrains, Oil & Masala",foodgrains-oil-masala,Atta Whole Wheat,1220742,https://www.bigbasket.com/media/uploads/p/s/1220742_1-aashirvaad-atta-whole-wheat-10-kg-iodised-salt-1-kg.jpg,Aashirvaad,Atta - Whole Wheat 10 kg + Iodised Salt 1 kg,Combo,604.00,-,https://www.bigbasket.com/pd/1220742/aashirvaad-atta-whole-wheat-10-kg-iodised-salt-1-kg-combo-pouch/,-,-
Bangalore,"Foodgrains, Oil & Masala",foodgrains-oil-masala,Atta Whole Wheat,40236231,https://www.bigbasket.com/media/uploads/p/s/40236231_2-aashirvaad-select-sharbati-atta-100-mp-whole-wheat-rotis-stay-softer-for-longer.jpg,Aashirvaad,"Select Sharbati Atta - Rich In Nutrients, For Soft & Fluffy Roti",10 kg,680.00,58.48,https://www.bigbasket.com/pd/40236231/aashirvaad-select-sharbati-atta-100-mp-whole-wheat-rotis-stay-softer-for-longer-10-kg/,-,-
Bangalore,"Foodgrains, Oil & Masala",foodgrains-oil-masala,Rice & Other Flours,10000458,https://www.bigbasket.com/media/uploads/p/s/10000458_11-bb-royal-rice-flour.jpg,BB Royal,Rice Flour,1 kg,60.00,43.00,https://www.bigbasket.com/pd/10000458/bb-royal-rice-flour-1-kg-pouch/,-,-
Bangalore,"Foodgrains, Oil & Masala",foodgrains-oil-masala,"Sooji, Maida & Besan",40018904,https://www.bigbasket.com/media/uploads/p/s/40018904_4-bb-royal-bansi-sooji.jpg,BB Royal,Bansi Sooji/Kesari Rava,1 kg,75.00,52.00,https://www.bigbasket.com/pd/40018904/bb-royal-bansi-sooji-1-kg-pouch/,-,-
Bangalore,"Foodgrains, Oil & Masala",foodgrains-oil-masala,"Sooji, Maida & Besan",40044729,https://www.bigbasket.com/media/uploads/p/s/40044729_7-bb-royal-maida.jpg,BB Royal,Maida,2 kg,130.00,42.50,https://www.bigbasket.com/pd/40044729/bb-royal-maida-2-kg-pouch/,-,-
Bangalore,"Foodgrains, Oil & Masala",foodgrains-oil-masala,Atta Whole Wheat,40236230,https://www.bigbasket.com/media/uploads/p/s/40236230_3-aashirvaad-atta-with-multigrains-high-fibre-soft-rotis.jpg,Aashirvaad,Atta with Multigrains - High Fibre,10 kg,720.00,61.92,https://www.bigbasket.com/pd/40236230/aashirvaad-atta-with-multigrains-high-fibre-soft-rotis-10-kg/,-,-
Bangalore,"Foodgrains, Oil & Masala",foodgrains-oil-masala,Atta Whole Wheat,40189429,https://www.bigbasket.com/media/uploads/p/s/40189429_4-bb-royal-superior-mp-sharbati-atta-fortified.jpg,BB Royal,"Atta Sharbati MP Whole Wheat - Rotis Stay Softer For Longer, Fortified",10 kg,650.00,50.50,https://www.bigbasket.com/pd/40189429/bb-royal-superior-mp-sharbati-atta-fortified-10-kg-pouch/,-,-
Bangalore,"Foodgrains, Oil & Masala",foodgrains-oil-masala,Raw Rice,10000404,https://www.bigbasket.com/media/uploads/p/s/10000404_18-bb-royal-rice-raw-sona-masoori-12-17-months-old.jpg,BB Royal,"Rice/Akki - Raw, Sona Masoori, 12-17 Months Old",10 kg,700.00,55.00,https://www.bigbasket.com/pd/10000404/bb-royal-rice-raw-sona-masoori-12-17-months-old-10-kg-bag/,-,-
Bangalore,"Foodgrains, Oil & Masala",foodgrains-oil-masala,Raw Rice,40075897,https://www.bigbasket.com/media/uploads/p/s/40075897_12-bb-royal-sona-masoori-rice-raw-rice-super-premium.jpg,BB Royal,Sona Masoori Rice/Akki Raw Rice/Akki - Super Premium,10 kg,750.00,58.00,https://www.bigbasket.com/pd/40075897/bb-royal-sona-masoori-rice-raw-rice-super-premium-10-kg/,-,-
